model,acc,prec,rec,f1,cv_best_alpha,cv_best_score_macroF1,best_params_fixed
DT__uni+bi__alpha=0e+00,0.6875,0.6875,0.6875,0.6875,0.0,0.6508621249388471,"{""tree__criterion"": ""entropy"", ""tree__max_depth"": null, ""tree__min_samples_leaf"": 1, ""tree__ccp_alpha"": 0.0}"
DT__uni+bi__alpha=1e-02,0.6875,0.6666666666666666,0.75,0.7058823529411765,0.0,0.6508621249388471,"{""tree__criterion"": ""entropy"", ""tree__max_depth"": null, ""tree__min_samples_leaf"": 1, ""tree__ccp_alpha"": 0.01}"
DT__uni__alpha=1e-02,0.6375,0.6341463414634146,0.65,0.6419753086419753,0.01,0.6604743308616203,"{""tree__criterion"": ""entropy"", ""tree__max_depth"": null, ""tree__min_samples_leaf"": 1, ""tree__ccp_alpha"": 0.01}"
DT__uni__alpha=1e-03,0.64375,0.6533333333333333,0.6125,0.632258064516129,0.01,0.6604743308616203,"{""tree__criterion"": ""entropy"", ""tree__max_depth"": null, ""tree__min_samples_leaf"": 1, ""tree__ccp_alpha"": 0.001}"
