model,acc,prec,rec,f1,best_params
RF__uni+bi,0.84375,0.7956989247311828,0.925,0.8554913294797688,"{""n_estimators"": 200, ""max_features"": 90}"
RF__uni,0.78125,0.7472527472527473,0.85,0.7953216374269005,"{""n_estimators"": 160, ""max_features"": 70}"
