model,acc,prec,rec,f1,best_params
NB__uni+bi,0.86875,0.8314606741573034,0.925,0.8757396449704142,"{""clf__alpha"": 1.0}"
NB__uni+bi_topk,0.8625,0.8295454545454546,0.9125,0.8690476190476191,"{""clf__alpha"": 1.0, ""select__k"": 2000}"
NB__uni_topk,0.85,0.7978723404255319,0.9375,0.8620689655172413,"{""clf__alpha"": 0.5, ""select__k"": 2000}"
NB__uni,0.84375,0.8089887640449438,0.9,0.8520710059171598,"{""clf__alpha"": 0.5}"
