model,acc,prec,rec,f1,best_params,cv_best_score
GB__uni+bi,0.7625,0.7692307692307693,0.75,0.759493670886076,"{""learning_rate"": 0.3, ""max_depth"": 2}",0.7859375
GB__uni,0.75,0.7631578947368421,0.725,0.7435897435897436,"{""learning_rate"": 0.3, ""max_depth"": 2}",0.7921875
