model,acc,prec,rec,f1,best_params
LR_L1__uni+bi,0.78125,0.7922077922077922,0.7625,0.7770700636942676,"{""clf__C"": 10}"
LR_L1__uni,0.76875,0.7866666666666666,0.7375,0.7612903225806451,"{""clf__C"": 10}"
